season,season_type,week,fantasypros_id,player_name,team_abbr,Rank,Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,PCT,FL,G,FPTS,FPTS/G,ROST %
2018,REG,3,11610,Robert Woods,PIT,2,Robert Woods(PIT),3,3,100.0%,0,4.7,0,60.0%,0,0.0%,0,1,13.4,13.4,0.8%
2018,REG,3,16377,Mike Williams,FA,3,Mike Williams(FA),1,2,50.0%,0,20.0,0,66.7%,0,0%,0,1,8.0,8.0,3.2%
2018,REG,3,15680,Jakeem Grant Sr.,FA,4,Jakeem Grant Sr.(FA),1,1,100.0%,0,18.0,0,100.0%,0,0%,0,1,7.8,7.8,0.0%
2018,REG,3,11898,Jaron Brown,FA,5,Jaron Brown(FA),1,1,100.0%,0,16.0,0,100.0%,0,0%,0,1,7.6,7.6,0.0%
2018,REG,3,13976,Jamison Crowder,FA,6,Jamison Crowder(FA),2,2,100.0%,0,7.5,0,66.7%,0,0%,0,1,7.5,7.5,1.0%
2018,REG,3,15569,Sterling Shepard,TB,7,Sterling Shepard(TB),2,2,100.0%,0,7.0,0,100.0%,0,0%,0,1,7.4,7.4,1.0%
2018,REG,3,12260,Ryan Grant,FA,8,Ryan Grant(FA),2,2,100.0%,0,6.5,0,33.3%,0,0%,0,1,7.3,7.3,0.0%
2018,REG,4,10006,Aldrick Robinson,FA,1,Aldrick Robinson(FA),2,2,100.0%,0,16.5,0,33.3%,0,0%,0,1,15.3,15.3,0.0%
2018,REG,4,12888,Taylor Gabriel,FA,2,Taylor Gabriel(FA),2,2,100.0%,0,3.0,0,50.0%,0,0%,0,1,12.6,12.6,0.1%
2018,REG,4,11575,Josh Bellamy,FA,3,Josh Bellamy(FA),1,1,100.0%,0,20.0,0,25.0%,0,0%,0,1,8.0,8.0,0.0%
2018,REG,4,9320,Jordy Nelson,FA,4,Jordy Nelson(FA),1,2,50.0%,0,19.0,0,28.6%,0,0.0%,0,1,7.9,7.9,0.1%
2018,REG,4,17258,Calvin Ridley,TEN,5,Calvin Ridley(TEN),2,2,100.0%,0,9.0,0,66.7%,0,0%,0,1,7.8,7.8,88.6%
